Zona,Provincia/Pais,Localidad,Lectura_15_04_25_al_28_04_25,Lectura_29_04_25_al_16_05_25,Lectura_17_05_25_al_02_06_25
NOA,Santiago del Estero,Termas de Río Hondo,325,371,Sin datos
NOA,Santiago del Estero,Vinará,124,Sin datos,603
NOA,Catamarca,El Abra,68,210,150
NOA,Catamarca,Los Altos,11,169,256
NEA,Formosa,Las Lomitas,Sin datos,6,Sin datos
NEA,Formosa,Perin,Sin datos,65,59
NEA,Formosa,El colorado,2,8,8
NEA,Formosa,Comandante Fontana,52,17,891
NEA,Chaco,Tres Isletas,475,95,20
NEA,Chaco,Pampa del Infierno,Sin datos,47,83
NEA,Chaco,Concepción del Bermejo (Estanislao),0,30,Trampa perdida
NEA,Chaco,Don Luciano (C. del Bermejo),Sin datos,43,Trampa perdida
NEA,Chaco,Villa Angela,49,44,1
NEA,Chaco,Las Piedritas,0,0,0
NEA,Chaco,Los Frentones,Sin datos,0,Sin datos
NEA,Chaco,Juan José Castelli,Sin datos,38,Sin datos
NEA,Chaco,El Timbo Pampa,Sin datos,35,Sin datos
NEA,Chaco,El Tocon Bermejo,10,346,Sin datos
NEA,Chaco,Las Breñas,155,Sin datos,23
NEA,Chaco,Santa Teresa Capdevilla,30,136,Sin datos
NEA,Chaco,Pampa Cejas,Sin datos,0,Sin datos
NEA,Chaco,3 Retoños,53,0,37
NEA,Chaco,Quitilipi,Sin datos,0,Sin datos
NEA,Chaco,PampaToloza,Sin datos,640,Sin datos
NEA,Chaco,Kempe,5,0,0
NEA,Chaco,Gral. Pinedo,65,45,42
NEA,Chaco,Tres Isletas,43,62,102
NEA,Chaco,Pampa del Infierno,7,15,2
NEA,Chaco,Las Breñas,330,480,Trampa perdida
NEA,Chaco,Juan José Castelli,5,2,65
NEA,Chaco,Sylvina,5,85,143
NEA,Chaco,Basail,92,103,35
NEA,Santiago del Estero,Weisburd,190,181,1120
NEA,Santiago del Estero,Bandera,656,2319,2057
NEA,Santiago del Estero,Bandera,0,10,Sin datos
NEA,Santiago del Estero,Arbol Blanco,38,0,125
NEA,Santiago del Estero,Los Juries,880,830,340
NEA,Santiago del Estero,Roversi,346,813,816
NEA,Santiago del Estero,Otumpas,Sin datos,Sin datos,Sin datos
NEA,Santiago del Estero,Tacañitas,Sin datos,Sin datos,320
NEA,Santiago del Estero,Sachayoj,0,1,4
NEA,Santiago del Estero,Campo Gallo,Sin datos,78,Sin datos
NEA,Santiago del Estero,Sachayoj,481,Sin datos,480
NEA,Santiago del Estero,Sotos Cueva,520,Sin datos,900
NEA,Santiago del Estero,Rosello,0,Sin datos,13
NEA,Santiago del Estero,Tierras del Oeste,789,1178,1598
NEA,Santiago del Estero,Lilo Viejo,Sin datos,360,Sin datos
NEA,Santiago del Estero,Cuatro Bocas,495,22,25
NEA,Santiago del Estero,Rio Dulce,52,Sin datos,17
NEA,Santiago del Estero,La Rosita,Trampa perdida,0,3
NEA,Santiago del Estero,Weisburd,95,Sin datos,Sin datos
NEA,Santiago del Estero,Colonia Alpina,790,488,1592
NEA,Santiago del Estero,Isla Baja,392,1805,1670
NEA,Santiago del Estero,Tomás Young,267,859,1172
NEA,Santiago del Estero,Pozo del Toba,35,Sin datos,Sin datos
NEA,Santiago del Estero,Desvío La Paloma,121,Sin datos,Sin datos
NEA,Santiago del Estero,Otumpa,35,Sin datos,Sin datos
NEA,Santiago del Estero,Campo del Cielo,116,Sin datos,Sin datos
NEA,Santiago del Estero,El colorado,2,8,8
NEA,Santiago del Estero,Quimilí,81,221,2600
NEA,Santiago del Estero,Pampa de los Guanacos,292,346,2600
NEA,Santa Fe,Villa Minetti,386,2080,486
NEA,Santa Fe,Logroño,Sin datos,1158,Sin datos
NEA,Santa Fe,Villa Minetti,640,1060,730
NEA,Santa Fe,La Pelada,197,350,586
NEA,Santa Fe,Juamarita,Sin datos,Sin datos,Sin datos
NEA,Santa Fe,Ambrosetti,152,78,Trampa perdida
NEA,Santa Fe,Arroyo Ceibal,272,279,258
NEA,Santa Fe,Hersilia,37,122,581
NEA,Santa Fe,La Penca y Caraguatá,1675,1262,547
NEA,Santa Fe,Ramayón,237,277,469
NEA,Santa Fe,Alejandra,119,22,51
NEA,Santa Fe,Margarita,147,Trampa perdida,141
NEA,Santa Fe,Vera y Pintado,98,166,490
NEA,Santa Fe,Emilia,42,Sin datos,6
NEA,Santa Fe,La María,119,22,51
NEA,Santa Fe,La Osca,140,236,360
NEA,Santa Fe,Llambí Campbell,Sin datos,Sin datos,Sin datos
NEA,Santa Fe,Malabrigo,108,122,102
NEA,Santa Fe,Soledad,7,7,4
NEA,Santa Fe,Villa Saralegui,85,Sin datos,Sin datos
NEA,Santa Fe,Reconquista,755,567,338
NEA,Santa Fe,Calchaquí,0,5,7
NEA,Santa Fe,Logroño,647,1158,3217
NEA,Santa Fe,San javier,1300,0,983
NEA,Santa Fe,La sarita,190,234,453
Litoral,Corrientes,Mercedes,55,12,7
Litoral,Corrientes,Ambrosio,25,36,26
Litoral,Corrientes,Corrientes,181,212,32
Litoral,Corrientes,Bella Vista,2,17,3
Litoral,Corrientes,Sauce,8,7,24
Litoral,Corrientes,Estancia el Rocio Copra,9,19,0
Litoral,Corrientes,Mercedes,213,159,54
Litoral,Corrientes,Virasoro,0,0,8
Litoral,Corrientes,Goya,141,251,782
Litoral,Corrientes,Ituzaingo,0,0,0
Litoral,Corrientes,Esquina,0,2,0
Litoral,Entre Ríos,Don Cristobal,196,59,31
Litoral,Entre Ríos,Isletas,2,6,Trampa perdida
Litoral,Entre Ríos,La paz,0,Trampa perdida,0
Litoral,Entre Ríos,Hinojal,71,118,54
Litoral,Entre Ríos,Colonia Celina,0,0,0
Litoral,Entre Ríos,Viale,2,2,0
Litoral,Entre Ríos,Gualeguay,0,1,0
Litoral,Entre Ríos,Paso de las Piedras,55,36,126
Litoral,Entre Ríos,Villa Hernandarias,9,31,28
Litoral,Entre Ríos,Don Cristobal,20,21,6
Litoral,Entre Ríos,Crespo,Sin datos,0,0
Litoral,Entre Ríos,Las Garzas,517,Sin datos,34
Litoral,Entre Ríos,Santa Elena,0,0,Trampa perdida
Litoral,Entre Ríos,La Paz,54,38,Trampa perdida
Litoral,Entre Ríos,Molino Doll,0,0,Trampa perdida
Litoral,Entre Ríos,Feliciano,34,0,86
Litoral,Entre Ríos,Villa Lila,112,0,4
Litoral,Entre Ríos,Gualeguay,0,0,0
Litoral,Entre Ríos,Victoria,3,Sin datos,Trampa perdida
Litoral,Entre Ríos,Arroyo Barú,374,413,328
Litoral,Entre Ríos,San Fernando,6,Sin datos,Trampa perdida
Litoral,Entre Ríos,La Paz,5,9,5
Litoral,Entre Ríos,Nogoya,109,56,36
Litoral,Entre Ríos,Urdinarrain,38,16,83
Litoral,Entre Ríos,Concepción del Uruguay,17,43,11
Litoral,Entre Ríos,Diamante,12,6,52
Litoral,Entre Ríos,Gualeguay,153,835,235
Litoral,Entre Ríos,Parana,163,114,198
Centro Norte,San Luis,La Toma,Sin datos,2,1
Centro Norte,Córdoba,Corralito,127,159,360
Centro Norte,Córdoba,Freyre,217,273,346
Centro Norte,Córdoba,Morteros,141,97,32
Centro Norte,Córdoba,Rayo Cortado,188,285,186
Centro Norte,Córdoba,Jesus María,36,28,650
Centro Norte,Córdoba,El Fortín,151,324,Trampa perdida
