Zona,Provincia,Localidad,Latitud,Longitud,Cant_07_12_24_al_21_12_24,Cant_22_12_24_al_07_01_25,Cant_08_01_25_al_24_01_25
NEA,Santa Fe,La María,,,0,0,0
NEA,Santa Fe,La Osca,,,0,0,0
NEA,Santa Fe,Llambí Campbell,,,0,0,0
NEA,Santa Fe,Malabrigo,,,0,0,7
NEA,Santa Fe,Soledad,,,0,0,0
NEA,Santa Fe,Villa Saralegui,,,0,0,3
NEA,Santa Fe,Reconquista,,,2,7,17
NEA,Santa Fe,Calchaquí,,,0,1,12
NEA,Santa Fe,Logroño,,,0,0,0
NEA,Santa Fe,San javier,,,0,0,0
NEA,Santa Fe,La sarita,,,1,3,5
Litoral,Corrientes,Mercedes,,,88,58,71
Litoral,Corrientes,Ambrosio,,,Sin datos,29,23
Litoral,Corrientes,Corrientes,,,4,57,0
Litoral,Corrientes,Bella Vista,,,Sin datos,0,0
Litoral,Corrientes,sauce,,,12,5,3
Litoral,Corrientes,Estancia el Rocio Copra,,,30,8,22
Litoral,Corrientes,Mercedes,,,559,46,200
Litoral,Corrientes,Virasoro,,,10,2,11
Litoral,Corrientes,Goya,,,2,4,2
Litoral,Corrientes,Ituzaingo,,,13,0,39
Litoral,Corrientes,Esquina,,,0,7,Sin datos
Litoral,Entre Ríos,Don Cristobal,,,2,0,0
Litoral,Entre Ríos,Isletas,,,1,0,0
Litoral,Entre Ríos,La paz,,,0,0,0
Litoral,Entre Ríos,Hinojal,,,0,0,0
Litoral,Entre Ríos,Colonia Celina,,,0,0,0
Litoral,Entre Ríos,Viale,,,0,Trampa perdida,1
Litoral,Entre Ríos,Sauce Pinto,,,0,0,Sin datos
Litoral,Entre Ríos,Gualeguay,,,0,0,0
Litoral,Entre Ríos,Paso de las Piedras,,,0,0,0
Litoral,Entre Ríos,Villa Hernandarias,,,0,0,0
Litoral,Entre Ríos,Don Cristóbal,,,1,3,0
Litoral,Entre Ríos,Las Garzas,,,0,5,13
Litoral,Entre Ríos,Santa Elena,,,0,0,1
Litoral,Entre Ríos,Montoya,,,0,0,1
Litoral,Entre Ríos,La Paz,,,0,0,9
Litoral,Entre Ríos,Molino Doll,,,Sin datos,0,0
Litoral,Entre Ríos,Feliciano,,,2,4,21
Litoral,Entre Ríos,Villa Lila,,,Sin datos,3,2
Litoral,Entre Ríos,Gualeguay,,,0,0,0
Litoral,Entre Ríos,Victoria,,,0,0,2
Litoral,Entre Ríos,Arroyo Barú,,,0,0,38
Litoral,Entre Ríos,San Fernando,,,0,0,30
Litoral,Entre Ríos,La Paz,,,0,Trampa perdida,0
Litoral,Entre Ríos,Nogoya,,,0,0,1
Litoral,Entre Ríos,Gualeguaychú,,,0,0,Sin datos
Litoral,Entre Ríos,Concepción del Uruguay,,,0,3,27
Litoral,Entre Ríos,Diamante,,,0,4,12
Litoral,Entre Ríos,Gualeguay,,,0,0,4
Litoral,Entre Ríos,Parana,,,0,2,2
Centro Norte,San Luis,La Toma,,,0,0,0
Centro Norte,Córdoba,Corralito,,,Trampa perdida,0,Sin datos
Centro Norte,Córdoba,Freyre,,,0,0,3
Centro Norte,Córdoba,Morteros,,,0,0,2
Centro Norte,Córdoba,Rayo Cortado,,,Trampa perdida,1,0
Centro Norte,Córdoba,Jesus María,,,0,0,0
Centro Norte,Córdoba,El Fortín,,,Trampa perdida,0,0
Centro Norte,Córdoba,Río Ceballos,,,0,0,0
Centro Norte,Córdoba,Villa María,,,0,Trampa perdida,0
Centro Norte,Córdoba,Cañada de Luque,,,0,0,0
Centro Norte,Córdoba,Capilla de Sitón,,,0,Trampa perdida,0
Centro Norte,Córdoba,Carrilobo,,,0,Trampa perdida,0
Centro Norte,Córdoba,Devoto,,,0,0,0
Centro Norte,Córdoba,Eufrasio Loza,,,0,0,0
Centro Norte,Córdoba,Laguna Larga,,,0,0,0
Centro Norte,Córdoba,Las Bajadas,,,0,0,0
Centro Norte,Córdoba,Monte del Rosario,,,0,1,6
Centro Norte,Córdoba,Montecristo,,,0,Trampa perdida,0
Centro Norte,Córdoba,Obispo trejo,,,0,Sin datos,Sin datos
Centro Norte,Córdoba,Río Segundo- T1,,,1,0,1
Centro Norte,Córdoba,San Francisco,,,0,0,0
Centro Norte,Córdoba,Santa Catalina,,,0,0,0
Centro Norte,Córdoba,Tancacha,,,0,0,0
Centro Norte,Córdoba,Villa de Maria,,,0,0,Sin datos
Centro Norte,Córdoba,Arroyito,,,0,0,0
Centro Norte,Córdoba,Villa Sta. Rosa,,,0,0,1
Centro Norte,Córdoba,Hernando,,,0,1,Sin datos
Centro Norte,Córdoba,Piquillín,,,0,0,0
Centro Norte,Córdoba,Las Chilcas,,,0,0,0
Centro Norte,Córdoba,Sebastián el Cano,,,0,Trampa perdida,0
Centro Norte,Córdoba,El Tío,,,6,Trampa perdida,0
Centro Norte,Córdoba,Colonia Tirolesa,,,0,0,0
Centro Norte,Córdoba,Las Astillas,,,0,1,1
Centro Norte,Córdoba,Mi Granja,,,0,Trampa perdida,0
Centro Norte,Córdoba,Sacanta,,,0,Trampa perdida,0
Centro Norte,Córdoba,Sinsacate,,,0,0,0
Centro Norte,Córdoba,Tala Norte,,,0,0,0
Centro Norte,Córdoba,Manfredi,,,0,0,0
Centro Norte,Santa Fe,Ceres,,,Trampa perdida,1,1
Centro Norte,Santa Fe,Gálvez,,,Sin datos,0,0
Centro Norte,Santa Fe,Humboldt,,,0,0,0
Centro Norte,Santa Fe,Landeta,,,0,0,0
Centro Norte,Santa Fe,Piamonte,,,0,0,1
Centro Norte,Santa Fe,Susana,,,Sin datos,0,Trampa perdida
Centro Norte,Santa Fe,San Guillermo,,,0,0,1
Centro Norte,Santa Fe,San Jorge,,,0,0,1
Centro Norte,Santa Fe,San Vicente,,,0,0,0
Centro Norte,Santa Fe,Santa Clara de Saguier,,,0,0,Auditando
Centro Norte,Santa Fe,Vila,,,0,0,0
Centro Norte,Santa Fe,López,,,Sin datos,0,0
Centro Norte,Santa Fe,Campo Piaggio,,,Sin datos,0,0
Centro Norte,Santa Fe,San Carlos Norte,,,0,0,0
Centro Norte,Santa Fe,El Trébol,,,0,0,1
Centro Norte,Santa Fe,Emilia,,,0,0,0
Centro Norte,Santa Fe,Gálvez,,,0,0,0
Centro Norte,Santa Fe,La Camila,,,0,0,0
Centro Norte,Santa Fe,Maria Juana,,,0,Sin datos,Sin datos
Centro Norte,Santa Fe,Progreso,,,0,0,0
Centro Norte,Santa Fe,Sastre,,,0,0,1
Centro Norte,Santa Fe,Villa Trinidad,,,0,0,Sin datos
Centro Norte,Santa Fe,Helvecia,,,0,0,0
Centro Norte,Santa Fe,Aldao,,,0,0,0
Centro Norte,Santa Fe,San Jerónimo Norte,,,0,0,0
Centro Norte,Santa Fe,Ataliva,,,0,0,2
Centro Norte,Santa Fe,Bernardo de Irigoyen,,,0,0,0
Centro Norte,Santa Fe,Crispi,,,0,0,0
Centro Norte,Santa Fe,Esperanza,,,Trampa perdida,0,1
Centro Norte,Santa Fe,Moisés Ville,,,0,0,0
Centro Norte,Santa Fe,Rincón de Ávila,,,0,0,0
Centro Norte,Santa Fe,San Fabián,,,1,0,28
Centro Norte,Santa Fe,San Martin de las Escobas,,,0,0,4
Centro Norte,Santa Fe,Cañada Rosquín,,,Trampa perdida,0,0
Centro Norte,Santa Fe,El Trébol 4,,,0,Sin datos,0
Centro Norte,Córdoba,Marull,,,0,0,0
Centro Norte,Santa Fe,Centeno,,,0,0,0
Centro Norte,Santa Fe,Rafaela,,,0,0,6
Centro Norte,Santa Fe,Ceres,,,0,0,0
Centro Norte,Santa Fe,San Justo,,,0,3,5
Centro Sur,San Luís,La Angelina,,,0,0,0
Centro Sur,San Luís,Nueva Galia,,,0,0,0
Centro Sur,San Luís,Buena Esperanza,,,0,0,0
Centro Sur,San Luís,Juan Jorba,,,0,0,0
Centro Sur,San Luís,Los molles,,,0,0,0
Centro Sur,San Luís,Naschel,,,0,Trampa perdida,0
Centro Sur,San Luís,San Martín,,,0,0,0
Centro Sur,San Luís,San Luis 1,,,0,0,0
Centro Sur,San Luís,Quines,,,0,0,0
Centro Sur,Córdoba,Ana Zumaran,,,Trampa perdida,0,0
Centro Sur,Córdoba,Cnel. Baigorria,,,0,0,0
Centro Sur,Córdoba,General Roca,,,0,0,0
Centro Sur,Córdoba,Gral. Cabrera,,,0,0,0
Centro Sur,Córdoba,La playosa,,,0,0,0
Centro Sur,Córdoba,Ordoñez,,,0,0,0
Centro Sur,Córdoba,Tosquita,,,0,0,0
Centro Sur,Córdoba,Arroyo Cabral,,,Trampa perdida,Trampa perdida,0
Centro Sur,Córdoba,Villa María,,,Trampa perdida,0,0
Centro Sur,Córdoba,Benjamín Gould,,,0,0,0
Centro Sur,Córdoba,Buchardo,,,0,0,0
Centro Sur,Córdoba,Coronel Moldes,,,0,0,0
Centro Sur,Córdoba,Corral de Bustos,,,0,0,0
Centro Sur,Córdoba,Guatimozin,,,0,0,0
Centro Sur,Córdoba,Idiazabal,,,0,0,Sin datos
Centro Sur,Córdoba,Lecueder,,,0,0,0
Centro Sur,Córdoba,Villa Valeria,,,0,0,0
Centro Sur,Córdoba,Jovita,,,0,0,0
Centro Sur,Córdoba,Adelia María,,,0,0,0
Centro Sur,Córdoba,Chilibroste,,,0,0,0
Centro Sur,Córdoba,Justiniano Posse,,,0,Sin datos,Sin datos
Centro Sur,Córdoba,Huinca Renanco,,,0,Trampa perdida,0
Centro Sur,Córdoba,Arias,,,0,0,Sin datos
Centro Sur,Córdoba,Cañada Seca,,,0,0,0
Centro Sur,Córdoba,Cuatro Vientos,,,0,1,0
Centro Sur,Córdoba,General Levalle,,,0,0,0
Centro Sur,Córdoba,La Carlota,,,0,0,0
Centro Sur,Córdoba,Melo,,,0,1,0
Centro Sur,Córdoba,Monte de los Gauchos,,,0,2,2
Centro Sur,Córdoba,Punta del Agua,,,0,0,0
Centro Sur,Córdoba,Reduccion,,,0,0,0
Centro Sur,Córdoba,Rio Seco,,,0,0,0
Centro Sur,Córdoba,Vicuña Mackenna,,,0,2,0
Centro Sur,Córdoba,Villa valeria,,,0,0,0
Centro Sur,Córdoba,Monte Buey,,,0,0,0
Centro Sur,Córdoba,Marcos Juarez 2,,,0,0,0
Centro Sur,Santa Fe,Álvarez,,,0,0,0
Centro Sur,Santa Fe,Bustinza,,,0,0,0
Centro Sur,Santa Fe,Godoy,,,0,0,0
Centro Sur,Santa Fe,Hughes,,,0,0,0
Centro Sur,Santa Fe,Iriarte,,,0,0,0
Centro Sur,Santa Fe,Máximo Paz,,,0,0,0
Centro Sur,Santa Fe,San Jerónimo Sur,,,0,0,0
Centro Sur,Santa Fe,Teodelina,,,0,0,0
Centro Sur,Santa Fe,Timbúes,,,0,0,0
Centro Sur,Santa Fe,Venado tuerto,,,0,0,0
Centro Sur,Santa Fe,Villa Mugueta,,,0,0,0
Centro Sur,Santa Fe,Villada,,,0,0,0
Centro Sur,Santa Fe,Wheelright,,,0,0,0
Centro Sur,Santa Fe,J. B. Molina,,,0,0,0
Centro Sur,Santa Fe,Christophersen,,,0,Sin datos,Trampa perdida
Centro Sur,Santa Fe,Chañar Ladeado,,,0,0,Sin datos
Centro Sur,Santa Fe,Monte de Oca,,,0,0,0
Centro Sur,Santa Fe,Zavalla,,,0,5,0
Centro Sur,Santa Fe,Villa Cañas,,,0,0,0
Centro Sur,Santa Fe,Pueblo Uranga,,,0,0,Sin datos
Centro Sur,Córdoba,Ballesteros,,,0,0,0
Centro Sur,Santa Fe,Clucellas,,,0,0,0
Centro Sur,Santa Fe,Maria teresa,,,0,0,Sin datos
Centro Sur,Santa Fe,Bombal,,,Sin datos,0,0
Centro Sur,Santa Fe,Las Rosas,,,0,0,0
Centro Sur,Santa Fe,Teodelina,,,0,0,0
Centro Sur,Santa Fe,Cañada de Gómez,,,0,0,0
Centro Sur,Buenos Aires,Armstrong,,,0,0,0
Centro Sur,Buenos Aires,La invensible,,,0,0,0
Centro Sur,Buenos Aires,La Violeta,,,0,0,0
Centro Sur,Buenos Aires,17 de Agosto,,,0,0,Trampa perdida
Centro Sur,Buenos Aires,América,,,0,0,0
Centro Sur,Buenos Aires,Arrecifes,,,0,0,0
Centro Sur,Buenos Aires,Chacabuco,,,0,0,0
Centro Sur,Buenos Aires,Cnel. Dorrego,,,0,0,0
Centro Sur,Buenos Aires,Colón,,,0,0,0
Centro Sur,Buenos Aires,Coronel Suarez,,,0,0,0
Centro Sur,Buenos Aires,Cura Malal,,,0,0,0
Centro Sur,Buenos Aires,Ferré,,,0,0,0
Centro Sur,Buenos Aires,Germania,,,0,0,0
Centro Sur,Buenos Aires,Gral. Arenales T1,,,Sin datos,0,0
Centro Sur,Buenos Aires,Gobernador Castro,,,0,0,0
Centro Sur,Buenos Aires,González Moreno,,,0,0,Trampa perdida
Centro Sur,Buenos Aires,Guaminí,,,0,0,0
Centro Sur,Buenos Aires,Leandro N. Alem,,,0,0,0
Centro Sur,Buenos Aires,Los Toldos,,,0,0,0
Centro Sur,Buenos Aires,Morse,,,0,0,0
Centro Sur,Buenos Aires,Pasman,,,0,0,0
Centro Sur,Buenos Aires,Pehuajó,,,Sin datos,0,0
Centro Sur,Buenos Aires,Pergamino,,,0,0,0
Centro Sur,Buenos Aires,Ramallo,,,0,0,0
Centro Sur,Buenos Aires,Roberts,,,0,0,0
Centro Sur,Buenos Aires,Tres Arroyos,,,Sin datos,0,0
Centro Sur,Buenos Aires,Villa Gral. Savio,,,0,0,0
Centro Sur,Buenos Aires,Inés Indart,,,Trampa perdida,0,0
Centro Sur,Buenos Aires,Pirovano,,,0,0,0
Centro Sur,Buenos Aires,Zavalía,,,0,0,0
Centro Sur,Buenos Aires,Pigüé,,,0,0,0
Centro Sur,Buenos Aires,25 de Mayo Salesiana,,,0,0,0
Centro Sur,Buenos Aires,Berraondo,,,0,0,0
Centro Sur,Buenos Aires,Carhue,,,0,0,0
Centro Sur,Buenos Aires,Casbas,,,0,Trampa perdida,0
Centro Sur,Buenos Aires,Chascomús,,,0,0,1
Centro Sur,Buenos Aires,La Niña,,,0,0,Sin datos
Centro Sur,Buenos Aires,Las Numancias,,,0,0,0
Centro Sur,Buenos Aires,Necochea,,,0,0,0
Centro Sur,Buenos Aires,Paraje Fra Pal,,,0,0,0
Centro Sur,Buenos Aires,Salto,,,0,0,0
Centro Sur,Buenos Aires,Trenque Lauquen,,,0,0,3
Centro Sur,Buenos Aires,Chillar,,,0,0,Sin datos
Centro Sur,Buenos Aires,Sur Bordenave,,,0,0,0
Centro Sur,Buenos Aires,Puan,,,0,0,0
Centro Sur,Buenos Aires,Viboras,,,0,0,0
Centro Sur,Buenos Aires,12 de Octubre,,,0,0,0
Centro Sur,Buenos Aires,Carmen de Areco,,,0,0,0
Centro Sur,Buenos Aires,Ferré,,,0,0,0
Centro Sur,Buenos Aires,Vedia,,,0,0,0
Centro Sur,Buenos Aires,San Miguel de Arcángel,,,0,0,0
Centro Sur,Buenos Aires,América,,,0,0,0
Centro Sur,Buenos Aires,Arenaza,,,0,0,0
Centro Sur,Buenos Aires,Carlos Tejedor,,,0,0,0
Centro Sur,Buenos Aires,Casey,,,0,0,0
Centro Sur,Buenos Aires,Daireaux,,,0,0,0
Centro Sur,Buenos Aires,General Arenales,,,0,0,Sin datos
Centro Sur,Buenos Aires,General Villegas,,,0,0,0
Centro Sur,Buenos Aires,Guanaco,,,0,0,0
Centro Sur,Buenos Aires,Henderson,,,0,0,0
Centro Sur,Buenos Aires,Mari Lauque,,,0,0,0
Centro Sur,Buenos Aires,Moctezuma,,,0,0,0
Centro Sur,Buenos Aires,Treinta de Agosto,,,0,0,0
Centro Sur,Buenos Aires,Ayacucho,,,0,0,0
Centro Sur,Buenos Aires,Gral. Madariaga,,,0,0,0
Centro Sur,Buenos Aires,Orense,,,0,0,0
Centro Sur,Buenos Aires,Bragado,,,0,0,0
