Región,Provincia,Localidad,Lectura_08_02_25_al_23_02_25,Lectura_24_02_25_al_13_03_25,Lectura_14_03_25_al_28_03_25
Centro Norte,Córdoba,Monte del Rosario,38,41,41
Centro Norte,Córdoba,Montecristo,2,14,45
Centro Norte,Córdoba,Obispo trejo,0,0,0
Centro Norte,Córdoba,Río Segundo-T1,1,6,8
Centro Norte,Córdoba,San Francisco,Sin datos,0,1
Centro Norte,Córdoba,Santa Catalina,0,0,0
Centro Norte,Córdoba,Tancacha,0,0,Sin datos
Centro Norte,Córdoba,Villa de Maria,Sin datos,10,Sin datos
Centro Norte,Córdoba,Arroyito,0,1,1
Centro Norte,Córdoba,Villa Sta. Rosa,2,8,130
Centro Norte,Córdoba,Hernando,Sin datos,0,Sin datos
Centro Norte,Córdoba,Piquillín,0,Sin datos,0
Centro Norte,Córdoba,Las Chilcas,2,0,13
Centro Norte,Córdoba,Sebastián el Cano,5,Sin datos,25
Centro Norte,Córdoba,El Tío,0,Sin datos,Sin datos
Centro Norte,Córdoba,Colonia Tirolesa,2,0,1
Centro Norte,Córdoba,Las Astillas,0,0,1
Centro Norte,Córdoba,Mi Granja,6,Sin datos,Sin datos
Centro Norte,Córdoba,Sacanta,3,Sin datos,Sin datos
Centro Norte,Córdoba,Sinsacate,10,11,77
Centro Norte,Córdoba,Tala Norte,3,Sin datos,Sin datos
Centro Norte,Córdoba,Manfredi,0,4,7
Centro Norte,Córdoba,Marull,0,0,0
Centro Norte,Santa Fe,Ceres,0,2,7
Centro Norte,Santa Fe,Gálvez,0,0,0
Centro Norte,Santa Fe,Humboldt,0,0,0
Centro Norte,Santa Fe,Landeta,0,9,52
Centro Norte,Santa Fe,Piamonte,0,49,59
Centro Norte,Santa Fe,Susana,0,0,Sin datos
Centro Norte,Santa Fe,San Guillermo,21,24,286
Centro Norte,Santa Fe,San Jorge,0,0,Sin datos
Centro Norte,Santa Fe,San Vicente,1,9,25
Centro Norte,Santa Fe,Santa Clara de Saguier,0,0,Sin datos
Centro Norte,Santa Fe,Vila,41,58,102
Centro Norte,Santa Fe,López,0,0,0
Centro Norte,Santa Fe,Campo Piaggio,0,Sin datos,0
Centro Norte,Santa Fe,San Carlos Norte,0,0,0
Centro Norte,Santa Fe,El Trébol,Sin datos,Trampa perdida,Sin datos
Centro Norte,Santa Fe,Emilia,8,7,26
Centro Norte,Santa Fe,Gálvez,2,Sin datos,30
Centro Norte,Santa Fe,La Camila,45,33,32
Centro Norte,Santa Fe,Maria Juana,0,0,0
Centro Norte,Santa Fe,Progreso,48,2,21
Centro Norte,Santa Fe,Sastre,Sin datos,0,1
Centro Norte,Santa Fe,Villa Trinidad,Sin datos,Sin datos,Sin datos
Centro Norte,Santa Fe,Saladero Mariano Cabal,1,1,3
Centro Norte,Santa Fe,Aldao,0,1,2
Centro Norte,Santa Fe,San Jerónimo Norte,34,14,91
Centro Norte,Santa Fe,Ataliva,0,0,Sin datos
Centro Norte,Santa Fe,Bernardo de Irigoyen,0,2,17
Centro Norte,Santa Fe,Crispi,1,Sin datos,39
Centro Norte,Santa Fe,Esperanza,48,24,Sin datos
Centro Norte,Santa Fe,Moisés Ville,6,0,4
Centro Norte,Santa Fe,Rincón de Ávila,3,2,Sin datos
Centro Norte,Santa Fe,San Fabián,7,2,22
Centro Norte,Santa Fe,San Martin de las Escobas,5,6,110
Centro Norte,Santa Fe,Cañada Rosquín,12,6,406
Centro Norte,Santa Fe,El Trébol 4,0,Sin datos,0
Centro Norte,Santa Fe,Centeno,5,20,94
Centro Norte,Santa Fe,Rafaela,27,106,179
Centro Norte,Santa Fe,Ceres,6,7,13
Centro Norte,Santa Fe,San Justo,13,32,28
Centro Sur,San Luís,La Angelina,0,0,0
Centro Sur,San Luís,Nueva Galia,0,0,0
Centro Sur,San Luís,Buena Esperanza,0,0,0
Centro Sur,San Luís,Juan Jorba,0,0,0
Centro Sur,San Luís,Los molles,0,0,0
Centro Sur,San Luís,Naschel,0,3,7
Centro Sur,San Luís,San Martín,0,0,2
Centro Sur,San Luís,San Luis 1,0,0,0
Centro Sur,San Luís,Quines,0,5,16
Centro Sur,Córdoba,Ana Zumaran,0,6,20
Centro Sur,Córdoba,Cnel. Baigorria,0,0,0
Centro Sur,Córdoba,General Roca,0,0,0
Centro Sur,Córdoba,Gral. Cabrera,0,0,0
Centro Sur,Córdoba,La playosa,0,12,14
Centro Sur,Córdoba,Ordoñez,0,0,0
Centro Sur,Córdoba,Tosquita,0,0,0
Centro Sur,Córdoba,Arroyo Cabral,0,9,22
Centro Sur,Córdoba,Villa María,0,18,15
Centro Sur,Córdoba,Benjamín Gould,0,0,0
Centro Sur,Córdoba,Buchardo,0,0,0
Centro Sur,Córdoba,Coronel Moldes,0,0,0
Centro Sur,Córdoba,Corral de Bustos,0,0,0
