localidad,provincia,region,temporada,lat,lon,dist_zona_endemica_km,oni_invierno,heladas_count,heladas_severas_count,temp_min_abs,temp_media_invierno,temp_min_media_invierno,dias_tmin_gt_10,dias_tmin_gt_15,dias_tmin_gt_18,gdd_base10,gdd_base0_negativo,rh_mean_invierno,precip_total_invierno,dias_con_lluvia,wind_mean_invierno,wind_max_invierno,wind_norte_ratio,temp_media_primavera,temp_min_media_primavera,dias_tmin_gt_15_primavera,dias_tmin_gt_18_primavera,gdd_base10_primavera,rh_mean_primavera,precip_total_primavera,wind_mean_primavera,dist_nearest_outbreak_km,dist_nearest_high_outbreak_km,n_outbreaks_within_100km,n_outbreaks_within_200km,prev_max_capturas,prev_mean_capturas,prev_target,prev_n_detecciones,max_capturas,mean_capturas,n_lecturas,n_detecciones,target
arenaza,Buenos Aires,CENTRO SUR,2024-2025,-34.9851797,-61.7739101,966.8830275442375,0.08,12,0,-3.5,10.228260869565217,5.638043478260869,11,3,2,168.4,-25.0,67.84782608695652,54.300000000000004,10,12.784782608695656,37.0,0.358695652173913,17.91639344262295,11.893442622950818,12,6,483.2,56.31147540983606,90.0,14.18360655737705,9999.0,9999.0,0,0,0.0,0.0,0,0,0.0,0.0,54,0,0
arenaza,Buenos Aires,CENTRO SUR,2025-2026,-34.9851797,-61.7739101,966.8830275442375,-0.14,4,0,-3.1,9.747826086956522,5.592391304347826,8,0,0,99.39999999999999,-6.699999999999999,75.16304347826087,265.59999999999997,14,11.941304347826089,35.2,0.4673913043478261,15.508196721311476,10.350819672131149,8,0,346.4,69.08196721311475,234.0,13.701639344262293,74.0828095659719,138.7662333573255,2,20,0.0,0.0,0,0,0.0,0.0,9,0,0
arias,Córdoba,CENTRO SUR,2024-2025,-33.6422088,-62.4038413,806.751245875428,0.08,10,0,-2.7,10.883695652173914,6.36195652173913,16,4,2,199.4,-14.9,68.73913043478261,46.0,10,13.139130434782611,39.2,0.3804347826086957,18.613114754098362,12.8,19,6,525.4,56.131147540983605,203.5,15.244262295081967,9999.0,9999.0,0,0,0.0,0.0,0,0,7.0,0.53125,32,8,1
arias,Córdoba,CENTRO SUR,2025-2026,-33.6422088,-62.4038413,806.751245875428,-0.14,5,0,-2.8,10.413043478260871,6.215217391304349,10,1,0,130.99999999999997,-5.5,73.3695652173913,245.9,14,12.067391304347826,37.9,0.45652173913043476,16.465573770491805,11.018032786885248,10,3,401.0,66.0327868852459,215.8,14.509836065573774,0.0,42.015439836875835,10,63,7.0,0.53125,1,8,7.0,5.0,3,3,1
armstrong,Buenos Aires,CENTRO SUR,2024-2025,-33.3772429,-60.1983129,875.1608253284307,0.08,4,0,-2.5,11.810869565217395,7.745652173913043,26,9,3,255.5,-6.1,73.23913043478261,132.2,16,11.468478260869567,35.2,0.2391304347826087,18.57377049180328,13.450819672131148,24,5,523.0,65.36065573770492,113.8,12.037704918032787,9999.0,9999.0,0,0,0.0,0.0,0,0,0.0,0.0,27,0,0
armstrong,Santa Fe,CENTRO SUR,2024-2025,-32.7862754,-61.6035897,750.5295077648419,0.08,7,0,-2.8,11.709782608695654,7.260869565217392,22,8,3,255.1,-7.1,68.82608695652173,67.5,11,12.877173913043478,40.3,0.32608695652173914,19.00491803278689,13.285245901639342,21,4,549.3000000000002,57.950819672131146,129.1,14.754098360655739,9999.0,9999.0,0,0,0.0,0.0,0,0,45.0,6.0,18,3,1
armstrong,Santa Fe,CENTRO SUR,2025-2026,-32.7862754,-61.6035897,750.5295077648419,-0.14,3,0,-2.7,11.002173913043478,6.880434782608695,18,2,0,169.1,-5.0,74.56521739130434,233.59999999999997,18,12.557608695652174,44.2,0.3695652173913043,16.924590163934425,11.373770491803278,10,3,428.3,65.42622950819673,153.8,14.58688524590164,0.0,29.72421376326962,35,94,45.0,6.0,1,3,60.0,4.476190476190476,42,11,1
arrecifes,Buenos Aires,CENTRO SUR,2024-2025,-34.0674983,-60.108738,943.7212016974574,0.08,10,0,-3.7,10.817391304347826,6.27282608695652,19,4,3,206.0,-23.4,73.1304347826087,135.6,11,12.70217391304348,36.2,0.2608695652173913,17.97868852459016,12.147540983606557,11,5,486.69999999999993,63.114754098360656,115.2,13.418032786885245,9999.0,9999.0,0,0,0.0,0.0,0,0,20.0,1.7454545454545454,55,13,1
arrecifes,Buenos Aires,CENTRO SUR,2025-2026,-34.0674983,-60.108738,943.7212016974574,-0.14,3,0,-3.5,10.373913043478261,6.0793478260869565,13,0,0,135.69999999999996,-6.2,77.70652173913044,224.1,14,11.407608695652172,40.1,0.31521739130434784,15.872131147540985,10.645901639344261,10,1,367.1,70.62295081967213,186.5,12.840983606557373,0.0,98.37278024832237,12,44,20.0,1.7454545454545454,1,13,20.0,2.85,20,6,1
arroyito,Córdoba,CENTRO NORTE,2024-2025,-31.4192409,-63.0509405,554.4049277157966,0.08,7,0,-3.2,12.1,7.351086956521739,21,6,2,266.2,-8.5,66.6086956521739,50.0,8,11.756521739130434,32.8,0.33695652173913043,19.937704918032782,14.086885245901641,28,11,606.2,55.442622950819676,114.50000000000001,13.23934426229508,9999.0,9999.0,0,0,0.0,0.0,0,0,169.0,25.73333333333333,60,33,1
arroyito,Córdoba,CENTRO NORTE,2025-2026,-31.4192409,-63.0509405,554.4049277157966,-0.14,2,0,-1.9,11.701086956521738,7.207608695652173,19,2,0,207.90000000000003,-3.8,70.81521739130434,173.10000000000002,15,11.798913043478263,41.2,0.42391304347826086,18.29836065573771,12.327868852459018,16,6,508.69999999999993,59.68852459016394,95.3,13.870491803278687,0.0,0.0,22,74,169.0,25.73333333333333,1,33,298.0,24.177777777777777,45,15,1
arroyo barú,Entre Ríos,LITORAL,2024-2025,-31.8661139,-58.4463106,863.3036873839285,0.08,6,0,-2.2,13.072826086956523,8.905434782608696,39,12,5,361.49999999999994,-6.6,76.19565217391305,107.9,12,13.145652173913048,37.9,0.22826086956521738,18.465573770491805,13.188524590163935,21,6,516.4,73.11475409836065,165.2,13.645901639344261,9999.0,9999.0,0,0,0.0,0.0,0,0,734.0,149.60416666666666,48,24,1
arroyo barú,Entre Ríos,LITORAL,2025-2026,-31.8661139,-58.4463106,863.3036873839285,-0.14,4,0,-2.8,11.43804347826087,6.783695652173913,17,2,1,197.20000000000002,-6.1,77.97826086956522,232.4,16,11.293478260869565,32.0,0.2608695652173913,17.79508196721311,11.82295081967213,13,4,479.9,65.77049180327869,240.5,13.22622950819672,0.0,0.0,4,23,734.0,149.60416666666666,1,24,328.0,12.261904761904765,42,13,1
arroyo cabral,Córdoba,CENTRO SUR,2024-2025,-32.4894728,-63.4022008,656.026027634107,0.08,6,0,-2.3,10.871739130434781,6.365217391304348,14,2,2,182.8,-7.6,68.3804347826087,30.6,6,10.093478260869563,28.9,0.5,18.740983606557375,12.913114754098359,20,4,533.2,56.57377049180328,156.10000000000002,11.642622950819675,9999.0,9999.0,0,0,0.0,0.0,0,0,52.0,11.714285714285714,42,18,1
arroyo cabral,Córdoba,CENTRO SUR,2025-2026,-32.4894728,-63.4022008,656.026027634107,-0.14,2,0,-2.2,10.697826086956521,6.227173913043477,11,0,0,140.6,-4.4,71.17391304347827,219.29999999999998,14,12.456521739130437,40.4,0.5108695652173914,17.252459016393445,11.229508196721314,12,3,446.69999999999993,60.98360655737705,82.39999999999999,14.711475409836064,0.0,73.80573844881926,19,76,52.0,11.714285714285714,1,18,20.0,1.4680851063829787,47,6,1
arroyo cabral,Santa Fe,CENTRO SUR,2024-2025,-33.4814482,-60.9195029,849.1088636195923,0.08,9,0,-3.5,11.15108695652174,6.697826086956524,19,5,3,224.4,-18.0,71.53260869565217,97.70000000000002,14,13.26086956521739,40.2,0.2608695652173913,18.401639344262296,12.726229508196722,17,5,512.5,61.16393442622951,114.60000000000001,14.708196721311477,9999.0,9999.0,0,0,0.0,0.0,0,0,2.0,0.6666666666666666,9,3,0
arroyo ceibal,Santa Fe,NEA,2024-2025,-28.723128,-59.4778497,602.1835280424486,0.08,0,0,1.3,16.093478260869563,11.944565217391306,57,28,13,585.6,0.0,72.25,80.3,9,14.713043478260863,45.9,0.22826086956521738,21.501639344262298,16.444262295081966,40,20,701.6,70.49180327868852,186.90000000000003,15.362295081967215,9999.0,9999.0,0,0,0.0,0.0,0,0,463.0,73.28070175438596,57,42,1
arroyo ceibal,Santa Fe,NEA,2025-2026,-28.723128,-59.4778497,602.1835280424486,-0.14,0,0,0.0,14.202173913043477,9.643478260869566,45,8,2,411.70000000000005,0.0,77.29347826086956,248.29999999999998,20,11.268478260869566,32.5,0.13043478260869565,19.470491803278694,14.545901639344264,28,12,577.8000000000001,71.54098360655738,280.90000000000003,12.68360655737705,0.0,0.0,8,19,463.0,73.28070175438596,1,42,307.0,47.25714285714286,35,21,1
ascasubi,Buenos Aires,CENTRO SUR,2024-2025,-34.708059,-58.2695113,1100.1109607780686,0.08,8,0,-2.7,10.79782608695652,7.180434782608696,22,6,2,192.20000000000002,-15.600000000000001,78.26086956521739,223.59999999999997,19,13.451086956521738,37.2,0.18478260869565216,16.926229508196727,12.522950819672133,15,7,422.5,73.40983606557377,69.6,13.86065573770492,9999.0,9999.0,0,0,0.0,0.0,0,0,0.0,0.0,48,0,0
ascasubi,Buenos Aires,CENTRO SUR,2025-2026,-34.708059,-58.2695113,1100.1109607780686,-0.14,1,0,-1.2,10.83913043478261,7.3869565217391315,19,0,0,147.49999999999997,-1.2,78.26086956521739,165.4,16,10.910869565217391,35.5,0.2826086956521739,16.04426229508197,12.04098360655738,15,5,375.2,72.45901639344262,230.7,12.02295081967213,94.98589093002907,182.8042285960057,3,10,0.0,0.0,0,0,0.0,0.0,50,0,0
ataliva,Santa Fe,CENTRO NORTE,2024-2025,-30.9966491,-61.4309514,593.5121121648579,0.08,4,0,-1.6,13.173913043478262,8.673913043478262,32,10,3,354.3,-3.3,69.65217391304348,42.1,8,12.918478260869565,35.6,0.22826086956521738,20.785245901639346,14.678688524590168,28,12,657.9000000000001,56.442622950819676,141.1,14.657377049180328,9999.0,9999.0,0,0,0.0,0.0,0,0,115.0,7.4,55,15,1
ataliva,Santa Fe,CENTRO NORTE,2025-2026,-30.9966491,-61.4309514,593.5121121648579,-0.14,3,0,-2.5,12.16304347826087,7.601086956521739,21,4,0,249.60000000000002,-4.5,74.40217391304348,191.1,14,11.658695652173913,43.0,0.2717391304347826,18.445901639344264,12.508196721311478,16,7,518.2,63.90163934426229,133.1,13.747540983606557,0.0,0.0,21,74,115.0,7.4,1,15,115.0,8.522727272727273,44,15,1
