Zona,Provincia,Localidad,Cant_30_11_25_al_15_12_25,Cant_16_12_25_al_31_12_25,Cant_01_01_26_al_16_01_26
Litoral,Entre Ríos,Paso de las Piedras,0,3,3
Litoral,Entre Ríos,Villa Hernandarias,0,0,1
Litoral,Entre Ríos,Don Cristobal,0,0,0
Litoral,Entre Ríos,Crespo,0,0,0
Litoral,Entre Ríos,Las Garzas,2,6,8
Litoral,Entre Ríos,Santa Elena,1,0,Trampa perdida
Litoral,Entre Ríos,La Paz,5,10,39
Litoral,Entre Ríos,Feliciano,23,20,29
Litoral,Entre Ríos,Molino Doll,0,0,0
Litoral,Entre Ríos,Gualeguaychu,0,2,0
Litoral,Entre Ríos,Gualeguay,0,0,0
Litoral,Entre Ríos,Victoria,0,5,4
Litoral,Entre Ríos,Arroyo Barú,0,0,9
Litoral,Entre Ríos,La Paz,1,3,3
Litoral,Entre Ríos,Nogoya,0,0,0
Litoral,Entre Ríos,Urdinarrain,0,0,0
Litoral,Entre Ríos,Concepción del Uruguay,0,22,437
Litoral,Entre Ríos,Diamante,0,0,0
Litoral,Entre Ríos,Gualeguay,0,0,0
Litoral,Entre Ríos,Parana,0,0,63
Litoral,Entre Ríos,Villa Mantero,0,2,12
Centro Norte,Córdoba,Corralito,0,0,0
Centro Norte,Córdoba,El Fortín,0,1,0
Centro Norte,Córdoba,Freyre,0,0,2
Centro Norte,Córdoba,Morteros,0,1,55
Centro Norte,Córdoba,Rayo Cortado,1,1,1
Centro Norte,Córdoba,Jesus María,4,1,0
Centro Norte,Córdoba,Cañada de Luque,0,0,0
Centro Norte,Córdoba,Río Ceballos,0,0,0
Centro Norte,Córdoba,Villa María,Trampa perdida,0,0
Centro Norte,Córdoba,Carrilobo,0,0,4
Centro Norte,Córdoba,Capilla de Sitón,0,0,0
Centro Norte,Córdoba,Devoto,0,0,0
Centro Norte,Córdoba,San Francisco,1,0,0
Centro Norte,Córdoba,Eufrasio Loza,0,0,0
Centro Norte,Córdoba,Laguna Larga,0,Trampa perdida,0
Centro Norte,Córdoba,Las Bajadas,1,Sin datos,0
Centro Norte,Córdoba,Monte del Rosario,3,4,2
Centro Norte,Córdoba,Montecristo,0,Trampa perdida,0
Centro Norte,Córdoba,Obispo trejo,1,1,Sin datos
Centro Norte,Córdoba,Río Segundo-T1,0,0,0
Centro Norte,Córdoba,Arroyito,0,0,0
Centro Norte,Córdoba,Santa Catalina,0,0,0
Centro Norte,Córdoba,Tancacha,0,0,0
Centro Norte,Córdoba,Villa de Maria,0,0,0
Centro Norte,Córdoba,Villa Sta. Rosa,0,0,8
Centro Norte,Córdoba,Colonia Tirolesa,0,0,2
Centro Norte,Córdoba,Hernando,0,1,2
Centro Norte,Córdoba,Piquillín,0,0,13
Centro Norte,Córdoba,Las Chilcas,0,Trampa perdida,Trampa perdida
Centro Norte,Córdoba,Sebastián el Cano,0,Trampa perdida,63
Centro Norte,Córdoba,El Tío,0,0,5
Centro Norte,Córdoba,Las Astillas,0,1,1
Centro Norte,Córdoba,Tala Norte,0,Sin datos,4
Centro Norte,Córdoba,Mi Granja,0,0,0
Centro Norte,Córdoba,Sacanta,0,0,3
Centro Norte,Córdoba,Sinsacate,0,2,2
Centro Norte,Córdoba,Manfredi,0,0,1
Centro Norte,Córdoba,Brinkmann,0,0,0
Centro Norte,Córdoba,San Francisco,0,0,0
Centro Norte,Córdoba,Colonia Marina,0,0,0
Centro Norte,Córdoba,Villa Fontana,0,0,0
Centro Norte,Córdoba,Loma Del Trozo,0,0,0
Centro Norte,San Luis,La Toma,0,0,0
Centro Norte,Santa Fe,Ceres,0,0,5
Centro Norte,Santa Fe,Gálvez,0,0,0
Centro Norte,Santa Fe,Humboldt,0,0,3
Centro Norte,Santa Fe,Landeta,0,0,0
Centro Norte,Santa Fe,Piamonte,0,0,0
Centro Norte,Santa Fe,San Vicente,0,0,60
Centro Norte,Santa Fe,Susana,0,Sin datos,Sin datos
Centro Norte,Santa Fe,San Guillermo,3,4,146
Centro Norte,Santa Fe,San Jorge,0,0,0
Centro Norte,Santa Fe,Santa Clara de Saguier,0,1,1
Centro Norte,Santa Fe,Vila,0,0,34
Centro Norte,Santa Fe,El Trébol,0,0,0
Centro Norte,Santa Fe,López,0,0,0
Centro Norte,Santa Fe,Campo Piaggio,0,0,0
Centro Norte,Santa Fe,San Carlos Norte,0,0,4
Centro Norte,Santa Fe,Emilia,0,0,0
Centro Norte,Santa Fe,Gálvez,0,0,0
Centro Norte,Santa Fe,Aldao,3,Trampa perdida,4
Centro Norte,Santa Fe,Maria Juana,0,0,0
Centro Norte,Santa Fe,Progreso,3,0,4
Centro Norte,Santa Fe,Sastre,0,0,Sin datos
Centro Norte,Santa Fe,San Jerónimo Norte,9,4,2
Centro Norte,Santa Fe,Ataliva,0,0,3
Centro Norte,Santa Fe,Bernardo de Irigoyen,0,0,1
Centro Norte,Santa Fe,Crispi,0,0,0
Centro Norte,Santa Fe,Esperanza,0,0,24
Centro Norte,Santa Fe,Moisés Ville,0,0,1
Centro Norte,Santa Fe,Cañada Rosquín,0,0,0
Centro Norte,Santa Fe,El Trébol 4,Sin datos,Sin datos,0
Centro Norte,Santa Fe,Rincón de Ávila,0,0,1
Centro Norte,Santa Fe,San Fabián,0,0,0
Centro Norte,Santa Fe,San Martin de las Escobas,0,0,0
Centro Norte,Santa Fe,Centeno,0,0,0
Centro Norte,Santa Fe,Cayasto,Sin datos,2,1
Centro Norte,Santa Fe,Rafaela,0,0,2
Centro Norte,Santa Fe,Ceres,0,2,4
Centro Norte,Santa Fe,San Justo,0,0,2
Centro Norte,Santa Fe,Angelica,0,0,0
Centro Norte,Santa Fe,Fraga,0,0,0
Centro Norte,Santa Fe,San Bernardo,0,0,21
Centro Sur,Buenos Aires,La Violeta,0,0,0
Centro Sur,Buenos Aires,América,0,0,0
Centro Sur,Buenos Aires,Chacabuco,0,0,0
Centro Sur,Buenos Aires,Cnel. Dorrego,0,0,0
Centro Sur,Buenos Aires,Coronel Suarez,0,0,0
Centro Sur,Buenos Aires,Cura Malal,0,0,0
Centro Sur,Buenos Aires,Germania,0,0,0
Centro Sur,Buenos Aires,Gral. Arenales T1,0,0,0
Centro Sur,Buenos Aires,Gobernador Castro,0,0,2
Centro Sur,Buenos Aires,González Moreno,0,0,0
Centro Sur,Buenos Aires,Guaminí,0,0,0
Centro Sur,Buenos Aires,Leandro N. Alem,0,0,0
Centro Sur,Buenos Aires,Los Toldos,0,0,0
Centro Sur,Buenos Aires,Morse,0,0,0
Centro Sur,Buenos Aires,Pasman,0,0,0
Centro Sur,Buenos Aires,Rafael Obligado,0,0,0
Centro Sur,Buenos Aires,Florentino Ameghino,0,0,0
Centro Sur,Buenos Aires,Roberts,0,0,0
Centro Sur,Buenos Aires,Tres Arroyos,0,Trampa perdida,0
Centro Sur,Buenos Aires,Villa Gral. Savio,0,0,0
Centro Sur,Buenos Aires,Inés Indart,0,0,Sin datos
Centro Sur,Buenos Aires,Pirovano,0,0,0
Centro Sur,Buenos Aires,Pedro Gamen,0,0,0
Centro Sur,Buenos Aires,Pigüé,0,0,0
Centro Sur,Buenos Aires,25 de Mayo Salesiana,0,0,0
Centro Sur,Buenos Aires,Berraondo,0,0,0
Centro Sur,Buenos Aires,Carhue,0,0,0
Centro Sur,Buenos Aires,Chascomús,0,0,0
Centro Sur,Buenos Aires,Necochea,0,0,0
