Región,Provincia,Localidad,Lectura_15_11_25_al_29_11,Lectura_30_11_25_al_15_12_25,Lectura_16_12_25_al_31_12_25
NEA,Santiago del Estero,Girardet,0,0,0
NEA,Santiago del Estero,Cejolao,0,0,0
NEA,Santiago del Estero,El colorado,0,0,0
NEA,Santiago del Estero,San Pedro de Guasayán,1,1,4
NEA,Santiago del Estero,Desvío La Paloma,0,0,0
NEA,Santiago del Estero,Moreno,0,Sin datos,Sin datos
NEA,Santiago del Estero,Pozo de toba,0,Sin datos,Sin datos
NEA,Santiago del Estero,Otumpa,3,0,4
NEA,Santiago del Estero,Avia Terai,,Sin datos,0
NEA,Santiago del Estero,Ahí Veremos,0,7,2
NEA,Santiago del Estero,Las Arenas,0,Sin datos,Sin datos
NEA,Santiago del Estero,El Malacara,0,Sin datos,Sin datos
NEA,Santiago del Estero,Averias,,Trampa perdida,Sin datos
NEA,Santiago del Estero,Bandera 2,,0,Trampa perdida
Litoral,Corrientes,Mercedes,92,13,37
Litoral,Corrientes,Ambrosio,0,3,Sin datos
Litoral,Corrientes,Corrientes,0,0,Sin datos
Litoral,Corrientes,Bella Vista,12,1,12
Litoral,Corrientes,Sauce,Trampa perdida,26,13
Litoral,Corrientes,Estancia el Rocio Copra,10,19,Trampa perdida
Litoral,Corrientes,Mercedes,146,55,100
Litoral,Corrientes,Virasoro,4,28,22
Litoral,Corrientes,Goya,6,10,11
Litoral,Corrientes,Curuzú,1,3,7
Litoral,Corrientes,Esquina,1,1,0
Litoral,Corrientes,Monte Caseros,1,2,1
Litoral,Entre Ríos,Don Cristobal,2,0,2
Litoral,Entre Ríos,Isletas,0,0,0
Litoral,Entre Ríos,San Salvador,0,3,6
Litoral,Entre Ríos,Hinojal,0,0,2
Litoral,Entre Ríos,Viale,0,0,1
Litoral,Entre Ríos,Colonia Celina,1,0,0
Litoral,Entre Ríos,Gualeguay,0,0,0
Litoral,Entre Ríos,Paso de las Piedras,0,0,3
Litoral,Entre Ríos,Villa Hernandarias,0,0,0
Litoral,Entre Ríos,Don Cristobal,0,0,0
Litoral,Entre Ríos,Crespo,0,0,0
Litoral,Entre Ríos,Las Garzas,0,2,6
Litoral,Entre Ríos,Santa Elena,4,1,0
Litoral,Entre Ríos,La Paz,3,5,10
Litoral,Entre Ríos,Feliciano,4,23,20
Litoral,Entre Ríos,Molino Doll,0,0,0
Litoral,Entre Ríos,Gualeguaychu,0,0,2
Litoral,Entre Ríos,Gualeguay,0,0,0
Litoral,Entre Ríos,Victoria,0,0,5
Litoral,Entre Ríos,Arroyo Barú,0,0,0
Litoral,Entre Ríos,La Paz,0,1,3
Litoral,Entre Ríos,Nogoya,0,0,0
Litoral,Entre Ríos,Urdinarrain,0,0,0
Litoral,Entre Ríos,Concepción del Uruguay,0,0,22
Litoral,Entre Ríos,Diamante,0,0,0
Litoral,Entre Ríos,Gualeguay,0,0,0
Litoral,Entre Ríos,Parana,0,0,0
Litoral,Entre Ríos,Villa Mantero,0,0,2
Centro Norte,Córdoba,Corralito,1,0,0
Centro Norte,Córdoba,El Fortín,0,0,1
Centro Norte,Córdoba,Freyre,0,0,0
Centro Norte,Córdoba,Morteros,0,0,1
Centro Norte,Córdoba,Rayo Cortado,0,1,1
Centro Norte,Córdoba,Jesus María,1,4,1
Centro Norte,Córdoba,Cañada de Luque,0,0,0
Centro Norte,Córdoba,Río Ceballos,0,0,0
Centro Norte,Córdoba,Villa María,Trampa perdida,Trampa perdida,0
Centro Norte,Córdoba,Carrilobo,0,0,0
Centro Norte,Córdoba,Capilla de Sitón,0,0,0
Centro Norte,Córdoba,Devoto,0,0,0
Centro Norte,Córdoba,San Francisco,0,1,0
Centro Norte,Córdoba,Eufrasio Loza,0,0,0
Centro Norte,Córdoba,Laguna Larga,0,0,Trampa perdida
Centro Norte,Córdoba,Las Bajadas,1,1,Sin datos
Centro Norte,Córdoba,Monte del Rosario,Trampa perdida,3,4
Centro Norte,Córdoba,Montecristo,1,0,Trampa perdida
Centro Norte,Córdoba,Obispo trejo,0,1,1
Centro Norte,Córdoba,Río Segundo-T1,0,0,0
Centro Norte,Córdoba,Arroyito,0,0,0
Centro Norte,Córdoba,Santa Catalina,0,0,0
Centro Norte,Córdoba,Tancacha,0,0,0
Centro Norte,Córdoba,Villa de Maria,0,0,0
Centro Norte,Córdoba,Villa Sta. Rosa,0,0,0
Centro Norte,Córdoba,Colonia Tirolesa,0,0,0
Centro Norte,Córdoba,Hernando,0,0,Sin datos
Centro Norte,Córdoba,Piquillín,0,0,0
Centro Norte,Córdoba,Las Chilcas,0,0,Trampa perdida
Centro Norte,Córdoba,Sebastián el Cano,0,Sin datos,Sin datos
Centro Norte,Córdoba,El Tío,0,0,0
Centro Norte,Córdoba,Las Astillas,0,0,Sin datos
Centro Norte,Córdoba,Tala Norte,0,0,Sin datos
Centro Norte,Córdoba,Mi Granja,2,0,0
Centro Norte,Córdoba,Sacanta,0,0,0
Centro Norte,Córdoba,Sinsacate,0,0,2
Centro Norte,Córdoba,Manfredi,0,0,0
Centro Norte,Córdoba,Brinkmann,0,0,0
Centro Norte,Córdoba,San Francisco,0,0,0
