Región,Provincia,Localidad,Lectura_04_10_24_al_21_10_24,Lectura_22_10_24_al_08_11_24,Lectura_09_11_24_al_22_11_24
Centro Norte,Córdoba,Laguna Larga,0,0,0
Centro Norte,Córdoba,Las Bajadas,0,1,0
Centro Norte,Córdoba,Monte del Rosario,0,0,1
Centro Norte,Córdoba,Montecristo,0,0,0
Centro Norte,Córdoba,Obispo trejo,1,0,0
Centro Norte,Córdoba,Río Segundo-T1,0,0,0
Centro Norte,Córdoba,San Francisco,0,0,0
Centro Norte,Córdoba,Santa Catalina,0,0,0
Centro Norte,Córdoba,Tancacha,0,0,0
Centro Norte,Córdoba,Villa de Maria,0,0,0
Centro Norte,Córdoba,Arroyito,1,1,0
Centro Norte,Córdoba,Villa Sta. Rosa,0,0,0
Centro Norte,Córdoba,Hernando,0,2,1
Centro Norte,Córdoba,Piquillín,0,0,0
Centro Norte,Córdoba,Las Chilcas,0,0,0
Centro Norte,Córdoba,Sebastián el Cano,3,1,1
Centro Norte,Córdoba,El Tío,0,0,0
Centro Norte,Córdoba,Colonia Tirolesa,0,0,1
Centro Norte,Córdoba,Las Astillas,0,0,0
Centro Norte,Córdoba,Mi Granja,0,0,0
Centro Norte,Córdoba,Sacanta,0,0,0
Centro Norte,Córdoba,Sinsacate,0,0,0
Centro Norte,Córdoba,Tala Norte,0,0,0
Centro Norte,Córdoba,Manfredi,0,0,0
Centro Norte,Córdoba,Marull,,0,0
Centro Norte,Santa Fe,Ceres,0,0,0
Centro Norte,Santa Fe,Gálvez,0,0,0
Centro Norte,Santa Fe,Humboldt,0,0,0
Centro Norte,Santa Fe,Landeta,0,0,0
Centro Norte,Santa Fe,Piamonte,0,0,0
Centro Norte,Santa Fe,Susana,0,0,0
Centro Norte,Santa Fe,San Guillermo,0,0,0
Centro Norte,Santa Fe,San Jorge,0,0,0
Centro Norte,Santa Fe,San Vicente,0,0,0
Centro Norte,Santa Fe,Santa Clara de Saguier,0,0,0
Centro Norte,Santa Fe,Vila,0,0,0
Centro Norte,Santa Fe,López,0,0,0
Centro Norte,Santa Fe,Campo Piaggio,0,0,0
Centro Norte,Santa Fe,San Carlos Norte,0,0,0
Centro Norte,Santa Fe,El Trébol,0,0,0
Centro Norte,Santa Fe,Emilia,0,0,0
Centro Norte,Santa Fe,Gálvez,0,0,0
Centro Norte,Santa Fe,La Camila,0,0,0
Centro Norte,Santa Fe,Maria Juana,0,0,0
Centro Norte,Santa Fe,Progreso,0,0,0
Centro Norte,Santa Fe,Sastre,0,0,0
Centro Norte,Santa Fe,Villa Trinidad,0,0,0
Centro Norte,Santa Fe,Helvecia,0,0,0
Centro Norte,Santa Fe,Aldao,0,0,0
Centro Norte,Santa Fe,San Jerónimo Norte,0,0,0
